attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
generic,2791,QUBOMutualInformation,TabuSampler,39,cuda:2,25.24,52.51,0.5785,8959.83,0.99928,0.99662,0.99604,0.99874,0.99336
generic,2817,QUBOSVCBoosting,SimulatedAnnealing,13,cuda:2,23.9,49.29,0.5625,7441.09,0.99867,0.99566,0.99268,0.99338,0.99199
generic,2830,QUBOSVCBoosting,SimulatedAnnealing,26,cuda:2,23.74,49.88,0.5664,7718.06,0.99907,0.99525,0.99486,0.99916,0.99059
generic,2843,QUBOSVCBoosting,SimulatedAnnealing,39,cuda:2,25.39,50.61,0.5807,8027.87,0.99897,0.9952,0.99434,0.99811,0.99059
generic,2869,QUBOSVCBoosting,SteepestDescent,13,cuda:2,23.97,49.16,0.5718,7441.09,0.99876,0.99353,0.99314,0.99922,0.98713
generic,2882,QUBOSVCBoosting,SteepestDescent,26,cuda:2,24.62,49.9,0.5763,7718.06,0.99885,0.99421,0.99367,0.99886,0.98853
generic,2895,QUBOSVCBoosting,SteepestDescent,39,cuda:2,24.7,50.62,0.5688,8027.87,0.99919,0.99606,0.99552,0.99883,0.99223
generic,2921,QUBOSVCBoosting,TabuSampler,13,cuda:2,23.91,49.33,0.5615,7578.64,0.99888,0.99447,0.99382,0.99862,0.98907
generic,2934,QUBOSVCBoosting,TabuSampler,26,cuda:2,24.63,50.23,0.5813,7993.36,0.999,0.99515,0.99447,0.99853,0.99044
generic,2947,QUBOSVCBoosting,TabuSampler,39,cuda:2,25.74,51.48,0.5671,8442.08,0.99919,0.99623,0.99553,0.99847,0.99261
reconnaissance,2971,QUBOCorrelation,SimulatedAnnealing,11,cuda:2,2.77,7.35,0.0871,1326.08,0.99843,0.99168,0.98359,0.98296,0.98422
reconnaissance,2982,QUBOCorrelation,SimulatedAnnealing,22,cuda:2,2.76,7.49,0.0861,1383.77,0.99902,0.99726,0.98982,0.98439,0.99531
reconnaissance,2993,QUBOCorrelation,SimulatedAnnealing,33,cuda:2,2.77,7.66,0.0854,1442.56,0.99894,0.99519,0.98893,0.98683,0.99104
reconnaissance,3015,QUBOCorrelation,SteepestDescent,11,cuda:2,2.72,7.32,0.084,1326.08,0.99843,0.99168,0.98359,0.98296,0.98422
reconnaissance,3026,QUBOCorrelation,SteepestDescent,22,cuda:2,2.77,7.49,0.0857,1383.77,0.99898,0.99359,0.98932,0.99101,0.98763
reconnaissance,3037,QUBOCorrelation,SteepestDescent,33,cuda:2,2.78,7.68,0.0863,1442.56,0.99892,0.99518,0.98872,0.98641,0.99104
reconnaissance,3059,QUBOCorrelation,TabuSampler,11,cuda:2,2.75,7.55,0.0867,1399.8,0.99884,0.99108,0.98778,0.9931,0.98251
reconnaissance,3070,QUBOCorrelation,TabuSampler,22,cuda:2,2.79,7.69,0.0866,1458.6,0.99884,0.99108,0.98778,0.9931,0.98251
reconnaissance,3081,QUBOCorrelation,TabuSampler,33,cuda:2,2.85,7.76,0.0862,1501.35,0.9988,0.99086,0.98735,0.99267,0.98208
reconnaissance,3103,QUBOMutualInformation,SimulatedAnnealing,11,cuda:2,2.73,7.36,0.085,1336.95,0.99723,0.99247,0.97145,0.9562,0.9872
reconnaissance,3114,QUBOMutualInformation,SimulatedAnnealing,22,cuda:2,2.74,7.54,0.0874,1394.61,0.99835,0.99204,0.98276,0.98047,0.98507
reconnaissance,3125,QUBOMutualInformation,SimulatedAnnealing,33,cuda:2,2.79,7.62,0.0871,1453.25,0.99898,0.99339,0.98931,0.99143,0.9872
