attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory_gpu_0,peak_memory_gpu_1,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
reconnaissance,3070,QUBOCorrelation,TabuSampler,22,"cuda:0,1",0,0.62,1.4974,2042.94,902.94,0.99725,0.99409,0.97169,0.9535,0.99059
reconnaissance,3081,QUBOCorrelation,TabuSampler,33,"cuda:0,1",0,0.65,1.5061,2062.94,902.94,0.99935,0.99681,0.99317,0.99232,0.99401
reconnaissance,3103,QUBOMutualInformation,SimulatedAnnealing,11,"cuda:0,1",0,0.56,1.5155,2022.94,890.94,0.99904,0.99564,0.98997,0.98807,0.99188
reconnaissance,3114,QUBOMutualInformation,SimulatedAnnealing,22,"cuda:0,1",0,0.62,1.8328,2032.94,896.94,0.99929,0.99597,0.99252,0.99273,0.9923
reconnaissance,3125,QUBOMutualInformation,SimulatedAnnealing,33,"cuda:0,1",0,0.65,1.5044,2004.94,898.94,0.99937,0.99683,0.99338,0.99274,0.99401
reconnaissance,3147,QUBOMutualInformation,SteepestDescent,11,"cuda:0,1",0,0.6,1.5344,1972.94,890.94,0.99904,0.99564,0.98997,0.98807,0.99188
reconnaissance,3158,QUBOMutualInformation,SteepestDescent,22,"cuda:0,1",0,0.6,1.3925,2014.94,894.94,0.99929,0.99597,0.99252,0.99273,0.9923
reconnaissance,3169,QUBOMutualInformation,SteepestDescent,33,"cuda:0,1",0,0.63,1.5099,2004.94,1198.94,0.99931,0.99679,0.99274,0.99147,0.99401
reconnaissance,3191,QUBOMutualInformation,TabuSampler,11,"cuda:0,1",0,0.64,1.5169,2330.94,902.94,0.99935,0.99681,0.99317,0.99232,0.99401
reconnaissance,3202,QUBOMutualInformation,TabuSampler,22,"cuda:0,1",0,0.6,1.5004,2016.94,908.94,0.99935,0.99681,0.99317,0.99232,0.99401
reconnaissance,3213,QUBOMutualInformation,TabuSampler,33,"cuda:0,1",0,0.65,1.4326,2068.94,1202.94,0.99935,0.99681,0.99317,0.99232,0.99401
reconnaissance,3235,QUBOSVCBoosting,SimulatedAnnealing,11,"cuda:0,1",0,0.55,0.718,1822.94,660.94,0.99169,0.99401,0.91953,0.85353,0.99658
reconnaissance,3246,QUBOSVCBoosting,SimulatedAnnealing,22,"cuda:0,1",0,0.58,1.3885,2052.94,890.94,0.9907,0.99288,0.91062,0.83922,0.9953
reconnaissance,3257,QUBOSVCBoosting,SimulatedAnnealing,33,"cuda:0,1",0,0.6,1.7953,2058.94,892.94,0.99906,0.99565,0.99018,0.9885,0.99188
reconnaissance,3279,QUBOSVCBoosting,SteepestDescent,11,"cuda:0,1",0,0.55,0.6313,1792.94,630.94,0.98683,0.99166,0.87818,0.78466,0.99701
reconnaissance,3290,QUBOSVCBoosting,SteepestDescent,22,"cuda:0,1",0,0.58,0.7311,1798.94,636.94,0.98852,0.99214,0.89204,0.80763,0.99615
reconnaissance,3301,QUBOSVCBoosting,SteepestDescent,33,"cuda:0,1",0,0.6,1.3829,2054.94,892.94,0.99684,0.98656,0.96714,0.95921,0.9752
reconnaissance,3323,QUBOSVCBoosting,TabuSampler,11,"cuda:0,1",0,0.54,1.4942,2048.94,888.94,0.99528,0.98148,0.95118,0.93659,0.96622
reconnaissance,3334,QUBOSVCBoosting,TabuSampler,22,"cuda:0,1",0,0.62,1.3808,2054.94,892.94,0.99625,0.99255,0.96173,0.93641,0.98846
reconnaissance,3345,QUBOSVCBoosting,TabuSampler,33,"cuda:0,1",0,0.62,1.5098,2058.94,896.94,0.99912,0.99568,0.99082,0.98976,0.99188
