attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
generic,2817,QUBOSVCBoosting,SimulatedAnnealing,13,2×GPU,0,208.16,156.4637,0.99955,0.99787,0.9975,0.99919,0.99582
generic,2830,QUBOSVCBoosting,SimulatedAnnealing,26,2×GPU,0,242.13,158.0233,0.99872,0.99791,0.99298,0.98907,0.99692
generic,2843,QUBOSVCBoosting,SimulatedAnnealing,39,2×GPU,0,355.55,157.825,0.99968,0.99861,0.99824,0.99916,0.99731
generic,2869,QUBOSVCBoosting,SteepestDescent,13,2×GPU,0,250.4,157.1585,0.99821,0.99551,0.99015,0.9881,0.99221
generic,2882,QUBOSVCBoosting,SteepestDescent,26,2×GPU,0,265.98,156.8342,0.99935,0.99722,0.9964,0.99817,0.99462
generic,2895,QUBOSVCBoosting,SteepestDescent,39,2×GPU,0,347.02,157.0669,0.99973,0.9989,0.99852,0.99916,0.99788
generic,2921,QUBOSVCBoosting,TabuSampler,13,2×GPU,0,208.76,156.715,0.99845,0.99253,0.99141,0.99758,0.98531
generic,2934,QUBOSVCBoosting,TabuSampler,26,2×GPU,0,310.08,158.1523,0.9998,0.99918,0.99888,0.99934,0.99842
generic,2947,QUBOSVCBoosting,TabuSampler,39,2×GPU,0,361.36,157.2925,0.99978,0.99904,0.99877,0.9994,0.99815
reconnaissance,2971,QUBOCorrelation,SimulatedAnnealing,11,2×GPU,0,33.2,22.3862,0.9953,0.98575,0.9518,0.9295,0.9752
reconnaissance,2982,QUBOCorrelation,SimulatedAnnealing,22,2×GPU,0,36.53,22.5188,0.99719,0.99264,0.971,0.95494,0.9876
reconnaissance,2993,QUBOCorrelation,SimulatedAnnealing,33,2×GPU,0,38.97,22.3715,0.99739,0.99315,0.97306,0.95814,0.98846
reconnaissance,3015,QUBOCorrelation,SteepestDescent,11,2×GPU,0,33.22,22.2931,0.9953,0.98575,0.9518,0.9295,0.9752
reconnaissance,3026,QUBOCorrelation,SteepestDescent,22,2×GPU,0,36.63,22.5028,0.99721,0.99285,0.97121,0.95496,0.98803
reconnaissance,3037,QUBOCorrelation,SteepestDescent,33,2×GPU,0,38.93,22.2989,0.99739,0.99315,0.97306,0.95814,0.98846
reconnaissance,3059,QUBOCorrelation,TabuSampler,11,2×GPU,0,37.23,22.3347,0.99727,0.99268,0.97181,0.95652,0.9876
reconnaissance,3070,QUBOCorrelation,TabuSampler,22,2×GPU,0,39.18,22.6034,0.99756,0.99019,0.97454,0.96716,0.98204
reconnaissance,3081,QUBOCorrelation,TabuSampler,33,2×GPU,0,41.77,22.5462,0.99949,0.9973,0.99466,0.99444,0.99487
reconnaissance,3103,QUBOMutualInformation,SimulatedAnnealing,11,2×GPU,0,30.82,22.367,0.99914,0.99529,0.99102,0.99102,0.99102
reconnaissance,3114,QUBOMutualInformation,SimulatedAnnealing,22,2×GPU,0,33.93,22.2939,0.99933,0.99701,0.99296,0.99147,0.99444
reconnaissance,3125,QUBOMutualInformation,SimulatedAnnealing,33,2×GPU,0,35.65,22.2296,0.99945,0.99748,0.99423,0.99317,0.9953
reconnaissance,3147,QUBOMutualInformation,SteepestDescent,11,2×GPU,0,30.86,22.4574,0.99914,0.99529,0.99102,0.99102,0.99102
reconnaissance,3158,QUBOMutualInformation,SteepestDescent,22,2×GPU,0,33.95,22.4676,0.99933,0.99701,0.99296,0.99147,0.99444
reconnaissance,3169,QUBOMutualInformation,SteepestDescent,33,2×GPU,0,35.62,22.2998,0.99943,0.99706,0.99402,0.99359,0.99444
reconnaissance,3191,QUBOMutualInformation,TabuSampler,11,2×GPU,0,41.74,22.4066,0.99949,0.9973,0.99466,0.99444,0.99487
reconnaissance,3202,QUBOMutualInformation,TabuSampler,22,2×GPU,0,41.82,22.5365,0.99949,0.9973,0.99466,0.99444,0.99487
reconnaissance,3213,QUBOMutualInformation,TabuSampler,33,2×GPU,0,41.82,22.464,0.99949,0.9973,0.99466,0.99444,0.99487
reconnaissance,3235,QUBOSVCBoosting,SimulatedAnnealing,11,2×GPU,0,31.54,23.4705,0.99572,0.99227,0.95656,0.92665,0.98846
reconnaissance,3246,QUBOSVCBoosting,SimulatedAnnealing,22,2×GPU,0,34.26,22.3365,0.99239,0.97265,0.92244,0.89569,0.95083
reconnaissance,3257,QUBOSVCBoosting,SimulatedAnnealing,33,2×GPU,0,37.07,22.3673,0.99931,0.99639,0.99274,0.99231,0.99316
reconnaissance,3279,QUBOSVCBoosting,SteepestDescent,11,2×GPU,0,27.2,21.0193,0.98833,0.99245,0.89059,0.80469,0.99701
reconnaissance,3290,QUBOSVCBoosting,SteepestDescent,22,2×GPU,0,31.39,21.9542,0.98868,0.99264,0.89349,0.80944,0.99701
reconnaissance,3301,QUBOSVCBoosting,SteepestDescent,33,2×GPU,0,36.72,22.5611,0.9977,0.98722,0.97584,0.97605,0.97563
reconnaissance,3323,QUBOSVCBoosting,TabuSampler,11,2×GPU,0,29.89,22.3484,0.99554,0.98162,0.95379,0.94167,0.96622
